id_cliente,nombre_completo,fecha_nacimiento,limite_credito,deuda_actual,estado_riesgo
35,Cliente_35,2001-08-07,2901160.26,2523470.89,MOROSO 
36,Cliente_36,1965-03-28,1892907.26,1697897.56,AL DIA
37,Cliente_37,2007-02-19,1395505.16,343746.33, al dia 
38,Cliente_38,2005-01-23,1598615.85,479195.82,AL DIA
39,Cliente_39,2000-09-28,1404778.26,276064.95,CASTIGADO
40,Cliente_40,1985-07-02,2555508.3,48859.07,AL DIA
41,  cliente_41  ,1967-07-22,447857.43,364163.34,MOROSO
42,Cliente_42,1995-08-20,628052.35,286184.84,MOROSO
43,Cliente_43,1978-03-12,2836618.53,1379665.54,MOROSO
44,Cliente_44,2002-07-18,567455.33,60249.28,MOROSO 
45,  cliente_45  ,2003-01-07,,151511.62,AL DIA
46,Cliente_46,2004-06-12,1349809.69,1218275.53,CASTIGADO
47,Cliente_47,2007-11-11,2069839.27,963538.41,MOROSO 
48,Cliente_48,1968-10-17,1630897.3,1312982.12,MOROSO 
49,Cliente_49,1997-09-30,1623069.99,1312986.02,MOROSO 
50,Cliente_50,1989-04-11,2654355.8,1336788.93, al dia 
51,Cliente_51,1986-12-27,,409587.69,MOROSO 
52,Cliente_52,2003-02-03,1878819.88,300272.5,AL DIA
53,Cliente_53,1992-07-30,470888.25,190078.62,MOROSO 
54,Cliente_54,1995-05-19,2125640.77,27989.53,AL DIA
55,Cliente_55,1966-09-13,2085522.07,1595803.57,MOROSO
56,Cliente_56,1997-09-28,668793.32,207560.43,CASTIGADO
57,Cliente_57,1975-03-12,2816852.23,1734417.99,MOROSO
58,Cliente_58,1983-12-09,826039.25,588088.8,MOROSO
59,Cliente_59,1969-11-23,797027.14,484758.35, al dia 
60,Cliente_60,2007-10-14,679366.61,73062.34,MOROSO 
61,Cliente_61,1981-06-28,,300943.76,MOROSO 
62,Cliente_62,1993-01-02,2548076.89,1423282.55,AL DIA
63,Cliente_63,1987-09-01,1531653.97,290827.99,CASTIGADO
64,Cliente_64,1958-04-27,1181891.22,527349.33,AL DIA
65,Cliente_65,1965-10-22,2293811.94,710226.77,AL DIA
66,  cliente_66  ,1985-01-22,2207679.83,138180.47, al dia 
67,Cliente_67,1985-05-23,2801601.21,314197.29,MOROSO
68,Cliente_68,1984-12-24,902101.03,610827.17,MOROSO 
69,Cliente_69,1973-12-07,,1097491.82,CASTIGADO
70,Cliente_70,1991-10-06,1801057.49,80922.96,MOROSO 
71,  cliente_71  ,2006-09-20,2540883.96,1609912.06,CASTIGADO
72,Cliente_72,1956-12-18,686255.19,12689.31,MOROSO 
73,  cliente_73  ,1971-08-11,1342712.5,470932.91,CASTIGADO
74,Cliente_74,1964-05-10,310989.7,75266.4, al dia 
75,Cliente_75,2000-11-17,825814.34,599505.11,AL DIA
76,Cliente_76,1980-08-12,2453331.14,1775004.31,MOROSO
77,Cliente_77,1998-04-28,2648917.81,2030559.4,CASTIGADO
78,Cliente_78,1974-11-27,1213188.2,58246.43,AL DIA
79,Cliente_79,1973-11-12,1763184.39,1545617.71,CASTIGADO
80,Cliente_80,1993-03-14,1299914.81,589304.31,MOROSO
81,Cliente_81,1975-02-26,1958090.84,1764191.69,MOROSO
82,Cliente_82,1959-08-19,306651.91,52190.62,MOROSO 
83,Cliente_83,2004-07-05,2108673.38,162763.84,AL DIA
84,Cliente_84,1996-10-13,2530625.46,2029050.45, al dia 
85,Cliente_85,2007-04-08,,810456.7,MOROSO 
86,Cliente_86,1968-06-23,1097535.78,965149.44, al dia 
87,Cliente_87,1989-09-13,2357113.75,155281.57,AL DIA
88,Cliente_88,1993-02-06,891689.25,43413.55,MOROSO
89,Cliente_89,1995-10-17,1997349.76,572646.66,CASTIGADO
90,Cliente_90,1973-10-16,255176.82,46332.9,CASTIGADO
91,Cliente_91,1959-08-24,2994067.84,876029.99,CASTIGADO
92,Cliente_92,1994-10-16,2544070.37,1224304.08,AL DIA
93,Cliente_93,1997-06-10,1661428.58,1217404.06,AL DIA
94,Cliente_94,1976-10-18,1987715.47,1089580.32,MOROSO
95,  cliente_95  ,1984-09-13,831845.99,262052.29,MOROSO 
96,Cliente_96,1987-05-15,1078389.38,457573.4,AL DIA
97,Cliente_97,1969-05-29,2519066.42,2382878.89,MOROSO
98,Cliente_98,1996-02-08,1291700.47,5975.42, al dia 
99,Cliente_99,1965-07-19,1259471.59,211625.23, al dia 
100,Cliente_100,1996-02-28,2714084.28,2096678.74,CASTIGADO
101,Cliente_101,1989-01-18,,879063.29,MOROSO 
102,  cliente_102  ,2007-04-19,1619666.47,298108.43, al dia 
103,Cliente_103,1990-02-28,1947819.3,8699.92,AL DIA
104,Cliente_104,1960-08-31,986799.23,474799.1,MOROSO
105,Cliente_105,1986-10-07,2850613.01,2652053.43,MOROSO
106,  cliente_106  ,1995-02-23,2346747.9,1737588.52,MOROSO 
107,Cliente_107,1994-03-15,1564556.43,563157.14,MOROSO
108,Cliente_108,1989-02-14,662525.9,55243.91,MOROSO
109,Cliente_109,1995-05-24,,214106.45, al dia 
110,Cliente_110,1957-10-06,367705.4,268456.17,CASTIGADO
111,Cliente_111,1960-11-04,,615493.27, al dia 
112,Cliente_112,1967-03-19,2691886.06,1921894.78,MOROSO 
113,Cliente_113,1975-01-01,2706720.34,742654.54,AL DIA
114,Cliente_114,1966-08-08,593261.21,452948.3,MOROSO
115,Cliente_115,1991-02-03,1095038.19,832589.39,MOROSO 
116,Cliente_116,1984-08-26,436105.15,342803.08, al dia 
117,Cliente_117,1988-02-07,613707.96,182903.57,CASTIGADO
118,Cliente_118,1979-06-20,2592683.6,1667533.15, al dia 
119,Cliente_119,1968-10-31,2940095.65,2394290.3,MOROSO
120,Cliente_120,1963-11-16,,1073321.95, al dia 
121,Cliente_121,1973-02-23,1157067.73,539739.4,AL DIA
122,Cliente_122,1997-10-03,2932909.12,978451.75,MOROSO 
123,Cliente_123,2007-01-25,2432848.16,1532007.2,CASTIGADO
124,Cliente_124,1999-07-30,2374841.21,2206892.22,MOROSO
125,Cliente_125,1980-07-27,1229460.83,154194.73,AL DIA
126,  cliente_126  ,1982-05-05,2990311.22,375242.69,MOROSO
127,Cliente_127,1966-12-29,2983774.5,1108837.11, al dia 
128,Cliente_128,1967-08-19,859229.52,354863.16,MOROSO 
129,Cliente_129,1993-03-26,2191996.2,115318.23,AL DIA
130,Cliente_130,1958-02-27,1123651.06,1042548.55,CASTIGADO
131,Cliente_131,2007-01-18,344233.91,263102.11, al dia 
132,Cliente_132,1996-06-20,351393.66,162508.77,MOROSO
133,Cliente_133,2006-03-19,2437357.2,544195.87, al dia 
134,Cliente_134,2006-09-26,369584.79,240185.04,CASTIGADO
135,Cliente_135,1972-09-26,2597985.36,739948.38,MOROSO
136,Cliente_136,1978-05-15,1504806.13,148442.88,CASTIGADO
137,Cliente_137,1985-07-14,1127951.96,460227.56,CASTIGADO
138,Cliente_138,1966-04-11,2865499.46,1295403.38,AL DIA
139,Cliente_139,1983-04-06,1759078.64,1204953.58,AL DIA
140,Cliente_140,2003-01-24,424386.98,332472.5,MOROSO 
141,Cliente_141,1993-04-13,2875136.67,1972301.38,CASTIGADO
142,Cliente_142,1968-03-13,235114.54,76517.92,AL DIA
143,Cliente_143,1994-06-04,2718015.49,471098.69,MOROSO 
144,Cliente_144,1968-10-29,622170.4,89340.77, al dia 
145,Cliente_145,1959-07-03,409139.17,74200.47,MOROSO
146,Cliente_146,1966-04-06,2324313.6,965056.37,MOROSO
147,Cliente_147,1977-02-04,527176.2,381758.3,MOROSO
148,  cliente_148  ,1970-05-30,875105.26,283797.25, al dia 
149,Cliente_149,1962-06-13,1124497.19,1047168.0,CASTIGADO
150,Cliente_150,1978-03-24,672846.34,180215.15, al dia 
151,Cliente_151,1976-01-06,697827.36,187558.53,AL DIA
152,  cliente_152  ,1986-06-17,2315861.5,1268904.71,MOROSO 
153,Cliente_153,2005-04-28,2645070.08,286444.11,CASTIGADO
154,  cliente_154  ,1986-09-14,2474177.26,1889896.03, al dia 
155,Cliente_155,1998-05-17,1995056.78,364378.85,MOROSO 
156,Cliente_156,1988-11-17,727597.57,11223.01,CASTIGADO
157,Cliente_157,1967-10-12,1606457.33,103682.33,CASTIGADO
158,Cliente_158,1977-06-23,,409655.3,AL DIA
159,  cliente_159  ,1982-03-24,2402023.8,347988.3,CASTIGADO
160,Cliente_160,1965-05-16,1535281.7,348166.28,MOROSO 
161,Cliente_161,2000-04-07,1032439.26,650610.34, al dia 
162,Cliente_162,1993-05-06,1987816.22,1358210.92,MOROSO 
163,Cliente_163,1982-01-03,2300764.51,100868.46, al dia 
164,Cliente_164,1965-03-25,2863391.5,922397.8,CASTIGADO
165,Cliente_165,1966-06-20,555832.5,102713.08,AL DIA
166,Cliente_166,1996-11-20,2006670.66,161571.28,AL DIA
167,Cliente_167,2003-04-04,,356571.84,MOROSO
168,Cliente_168,1960-08-10,,493249.57,CASTIGADO
169,Cliente_169,2001-02-17,2917779.32,1028233.87, al dia 
170,Cliente_170,1990-04-16,2150495.84,1532849.79, al dia 
171,Cliente_171,1966-02-17,1451727.55,160539.76,MOROSO 
172,Cliente_172,1991-12-14,2409623.72,1814749.39,CASTIGADO
173,Cliente_173,1974-03-18,1849261.04,1261179.67,MOROSO 
174,  cliente_174  ,1957-02-04,1337449.73,334517.1,MOROSO
175,  cliente_175  ,2002-06-28,487734.06,255435.71, al dia 
176,Cliente_176,1966-01-23,1197291.7,473655.15,MOROSO
177,Cliente_177,1973-03-03,1216198.96,390392.62,MOROSO 
178,Cliente_178,1993-05-06,1655713.25,728772.96,MOROSO
179,Cliente_179,1972-11-19,2352984.06,1157668.39, al dia 
180,Cliente_180,1987-03-24,2985212.79,2095081.65, al dia 
181,Cliente_181,2005-08-30,607104.46,243756.07,MOROSO 
182,Cliente_182,1967-10-09,1142606.21,682029.35,MOROSO 
183,Cliente_183,1973-07-18,1571584.23,1220577.45,CASTIGADO
184,Cliente_184,1979-01-01,2776341.57,2570448.46,CASTIGADO
185,Cliente_185,1976-10-07,2939204.86,2324096.17,CASTIGADO
186,  cliente_186  ,1970-10-28,1247906.44,556029.36,MOROSO
187,Cliente_187,1972-03-28,601687.11,219751.46,MOROSO 
188,Cliente_188,1995-12-05,2628696.23,772469.5,MOROSO 
189,Cliente_189,1969-01-11,1999586.71,1205199.81,MOROSO 
190,Cliente_190,1958-11-29,1199217.91,740314.11,MOROSO
191,Cliente_191,1998-04-07,1256167.66,451889.8,MOROSO 
192,Cliente_192,1973-02-23,1012552.47,825470.2,CASTIGADO
193,Cliente_193,1968-02-26,862844.81,730432.71,AL DIA
194,Cliente_194,1975-03-08,1436496.03,251978.33,CASTIGADO
195,Cliente_195,1962-11-22,,22100.03,AL DIA
196,Cliente_196,1960-09-06,548160.9,128190.25,MOROSO 
197,Cliente_197,1991-11-17,1830485.97,1002512.83,CASTIGADO
198,Cliente_198,1968-08-06,534600.62,242192.23,AL DIA
199,Cliente_199,1996-12-05,358255.13,299970.08,MOROSO
200,Cliente_200,1983-10-17,2511524.49,599459.73,MOROSO 
201,Cliente_201,1958-02-06,517985.71,385295.31,MOROSO 
202,Cliente_202,1997-08-12,1935445.91,546693.42, al dia 
203,Cliente_203,1966-12-01,1775155.7,988190.48,CASTIGADO
204,Cliente_204,1994-09-26,2708008.73,1117920.6,CASTIGADO
205,Cliente_205,2006-05-09,1530757.1,168688.24,MOROSO 
206,Cliente_206,1991-12-28,1438731.06,728175.84,AL DIA
207,Cliente_207,1967-10-10,312218.22,236912.82, al dia 
208,Cliente_208,2002-06-25,2939382.64,171626.79,MOROSO 
209,Cliente_209,1978-05-22,1873568.52,994075.3, al dia 
210,Cliente_210,1967-01-30,2661853.03,1233367.64,AL DIA
211,Cliente_211,1995-02-01,1147548.41,904000.22,MOROSO
212,Cliente_212,1990-05-07,1246179.55,871077.92,MOROSO 
213,Cliente_213,1987-01-25,1675470.13,564942.2,CASTIGADO
214,Cliente_214,1978-02-28,1510462.89,287969.65,MOROSO 
215,Cliente_215,1982-01-05,1191173.17,134730.01, al dia 
216,Cliente_216,1986-10-11,2476519.26,1832834.85,CASTIGADO
217,Cliente_217,1960-06-15,1026008.21,52903.46,MOROSO 
218,Cliente_218,1979-04-16,2823900.24,1793082.91,MOROSO
219,Cliente_219,1995-10-01,1066201.21,900678.47,MOROSO 
220,Cliente_220,2007-10-27,1585605.72,1394150.82,AL DIA
221,  cliente_221  ,1998-07-17,1220872.09,407674.84,AL DIA
222,Cliente_222,1965-06-04,320481.31,73120.32, al dia 
223,Cliente_223,1990-06-27,2714055.59,1490672.3,MOROSO
224,Cliente_224,1970-03-14,2057284.48,981570.33,AL DIA
225,  cliente_225  ,1970-08-22,894933.48,180629.5,CASTIGADO
226,Cliente_226,1962-01-15,982814.73,467004.34,MOROSO
227,Cliente_227,2007-01-07,1515687.17,225317.3,AL DIA
228,Cliente_228,1969-10-08,1400750.71,782299.19,AL DIA
229,Cliente_229,2008-03-14,1631946.2,394827.32,MOROSO 
230,Cliente_230,1980-02-28,390476.38,364673.88,AL DIA
231,  cliente_231  ,1972-02-04,2851261.92,2071996.3,CASTIGADO
232,Cliente_232,1991-03-28,1542657.16,984708.64,MOROSO
233,Cliente_233,1975-12-21,1334617.93,1232601.21,MOROSO 
234,Cliente_234,1986-08-31,960847.53,908969.19, al dia 
235,Cliente_235,1958-04-27,825438.18,15760.36,MOROSO 
236,Cliente_236,1988-05-18,2442298.56,204359.41,CASTIGADO
237,Cliente_237,1985-03-26,1094559.18,181174.3, al dia 
238,Cliente_238,1999-11-25,863152.52,510602.1,AL DIA
239,Cliente_239,1984-07-26,2921429.36,2309793.95,MOROSO 
240,Cliente_240,1970-03-13,827018.02,238769.44,MOROSO 
241,Cliente_241,1979-05-16,1348711.38,1039191.2, al dia 
242,Cliente_242,1982-11-09,1290967.33,1118161.99, al dia 
243,Cliente_243,1999-05-28,1230490.59,372104.73,MOROSO
244,Cliente_244,2005-03-09,2455068.79,2222646.15, al dia 
245,Cliente_245,1993-08-05,1267496.98,510908.58,MOROSO 
246,Cliente_246,1972-09-29,708447.72,62828.42,AL DIA
247,Cliente_247,1973-07-02,284962.88,269846.83,MOROSO
248,Cliente_248,1960-07-30,1259371.88,119448.93,MOROSO
249,  cliente_249  ,1977-02-03,1183112.62,896472.54,MOROSO 
250,Cliente_250,2005-07-12,715153.15,63414.4,CASTIGADO
251,  cliente_251  ,1992-09-05,452528.98,307967.35, al dia 
252,Cliente_252,1997-08-23,1310609.92,83196.37,MOROSO
253,Cliente_253,1990-05-26,1720078.27,627535.42,CASTIGADO
254,  cliente_254  ,1984-04-06,1114823.07,973601.21,MOROSO 
255,Cliente_255,1973-11-25,1331568.0,1056669.05,CASTIGADO
256,Cliente_256,1999-06-10,1769114.79,1407471.74,CASTIGADO
257,Cliente_257,1982-12-17,1959315.79,1789803.13,AL DIA
258,Cliente_258,1961-10-05,1211660.77,882936.83,MOROSO 
259,Cliente_259,1980-12-22,2790861.92,2428739.17,CASTIGADO
260,Cliente_260,1973-03-04,944028.04,647776.33,MOROSO 
261,Cliente_261,1992-11-02,2744508.13,1297085.9, al dia 
262,Cliente_262,1995-05-29,1990445.75,29709.87,CASTIGADO
263,Cliente_263,2005-07-17,,526027.86,AL DIA
264,Cliente_264,1974-07-09,319852.08,137175.83,CASTIGADO
265,  cliente_265  ,1987-01-13,1391583.2,260790.0,MOROSO
266,Cliente_266,1973-12-19,1886874.37,1239289.2,AL DIA
267,Cliente_267,2006-06-25,794137.96,583893.0,MOROSO
268,Cliente_268,1963-10-11,2813322.81,2304794.96, al dia 
269,Cliente_269,1968-09-10,1922901.22,1534201.42,MOROSO
270,Cliente_270,1963-01-25,1919281.67,7941.28,MOROSO
271,Cliente_271,1988-07-25,1230415.79,663822.02,AL DIA
272,Cliente_272,1965-11-30,1394636.54,45534.01,MOROSO 
273,Cliente_273,2002-02-05,906244.39,170145.33,AL DIA
274,Cliente_274,1970-07-21,607967.36,11932.0, al dia 
275,Cliente_275,1967-02-28,2217977.78,261935.4,MOROSO 
276,Cliente_276,1997-06-22,1902144.1,566494.55, al dia 
277,Cliente_277,1999-02-08,786144.8,493133.07,AL DIA
278,Cliente_278,1966-07-27,1822524.67,219152.31, al dia 
279,  cliente_279  ,1972-06-10,,627353.05,MOROSO
280,  cliente_280  ,2001-02-01,541991.15,317596.25,MOROSO
281,Cliente_281,2001-06-11,1463374.79,730873.88,AL DIA
282,Cliente_282,1962-07-15,2118700.16,514112.63,CASTIGADO
283,  cliente_283  ,1976-09-30,1063551.05,569474.24,CASTIGADO
284,Cliente_284,1991-02-07,487934.11,119524.6, al dia 
285,Cliente_285,2001-12-07,1550491.11,1066744.26,MOROSO
286,Cliente_286,2002-09-25,2444973.4,974945.0,MOROSO
287,  cliente_287  ,1977-10-28,806426.97,212435.2, al dia 
288,Cliente_288,1963-07-29,1101910.12,787634.36,MOROSO
289,  cliente_289  ,1998-03-05,401344.38,158529.34,AL DIA
290,Cliente_290,1985-11-26,1000146.14,65366.8,CASTIGADO
291,Cliente_291,1976-11-16,927356.65,34501.03,CASTIGADO
292,Cliente_292,2005-11-09,832737.28,322072.88,CASTIGADO
293,Cliente_293,1961-02-02,991969.6,223279.66,CASTIGADO
294,Cliente_294,1966-11-30,1995682.53,1080248.88,MOROSO
295,Cliente_295,1966-08-24,281837.53,202219.15,AL DIA
296,Cliente_296,2000-10-02,2204429.18,957482.52,CASTIGADO
297,Cliente_297,1969-06-08,2446193.28,1340726.96,MOROSO 
298,Cliente_298,2000-01-08,1682135.77,98162.14,MOROSO
299,Cliente_299,1988-04-18,2398229.57,52055.33,CASTIGADO
300,  cliente_300  ,1980-01-02,753395.25,262629.76, al dia 
301,Cliente_301,1975-05-04,1336347.76,983615.38, al dia 
302,Cliente_302,1982-10-30,1473895.64,1247978.44, al dia 
303,Cliente_303,1984-05-27,698719.63,100928.85,MOROSO
304,Cliente_304,1986-09-10,2940113.82,2548265.91,MOROSO
305,Cliente_305,1985-10-15,2541074.87,2303332.05,AL DIA
306,Cliente_306,1969-07-13,2968162.36,2476647.39,MOROSO 
307,Cliente_307,1963-12-22,2098958.75,1496248.51, al dia 
308,Cliente_308,1991-12-02,2265596.42,1036423.38,MOROSO
309,Cliente_309,2002-04-26,2434641.88,924813.83,MOROSO
310,Cliente_310,1994-01-06,306852.02,129109.62,MOROSO
311,Cliente_311,1976-12-27,217869.7,155875.41,MOROSO 
312,Cliente_312,1975-01-28,457508.57,1326.93, al dia 
313,Cliente_313,1963-04-27,972356.69,601212.23, al dia 
314,Cliente_314,2006-10-24,2353013.62,590013.04,AL DIA
315,Cliente_315,1983-01-10,2049638.3,1052774.63,AL DIA
316,Cliente_316,1961-05-22,1794238.55,1223787.19, al dia 
317,Cliente_317,2007-04-15,2663731.38,1099774.39,CASTIGADO
318,Cliente_318,1957-07-15,2356166.9,668721.78, al dia 
319,Cliente_319,1962-03-25,254891.96,37750.06,CASTIGADO
320,Cliente_320,2001-05-06,940670.73,185554.9,MOROSO 
321,  cliente_321  ,1974-08-29,2953877.28,963749.95, al dia 
322,Cliente_322,1975-01-01,651616.03,192719.47, al dia 
323,Cliente_323,1996-08-22,1470803.61,360250.62,CASTIGADO
324,Cliente_324,1993-10-23,1828303.11,521459.04, al dia 
325,  cliente_325  ,1965-03-06,2836342.78,1452653.57,MOROSO
326,Cliente_326,1987-06-28,925666.03,873354.31, al dia 
327,Cliente_327,1996-12-16,463117.76,183287.14, al dia 
328,Cliente_328,1998-11-13,2211156.55,999160.02,MOROSO
329,  cliente_329  ,1979-06-27,2966570.58,1877620.1,MOROSO
330,Cliente_330,1969-09-25,1433778.45,273214.08,AL DIA
331,Cliente_331,1962-12-19,1620141.61,1209936.97,CASTIGADO
332,Cliente_332,1958-11-20,1305771.34,672914.75, al dia 
333,Cliente_333,1992-09-14,585106.41,86225.51,AL DIA
334,Cliente_334,1999-03-01,2604559.43,1914822.7,AL DIA
335,Cliente_335,1968-06-08,2884135.75,1445333.22,MOROSO
336,  cliente_336  ,1962-08-07,1071704.45,498567.67, al dia 
337,Cliente_337,1973-12-25,2597730.55,1291821.87,MOROSO 
338,Cliente_338,1959-11-17,2770385.77,1423549.09,MOROSO 
339,Cliente_339,1984-08-09,680687.19,184339.4,MOROSO 
340,Cliente_340,1961-07-07,1810796.19,1020018.68,AL DIA
341,Cliente_341,1981-06-14,2492200.58,1735691.41,CASTIGADO
342,Cliente_342,1972-02-16,2157167.01,777345.45,AL DIA
343,Cliente_343,1976-08-15,1328131.78,1194940.26,CASTIGADO
344,Cliente_344,1988-05-12,,372278.43,MOROSO
345,Cliente_345,1989-02-08,809838.83,468399.58,AL DIA
346,Cliente_346,1976-11-10,1166228.78,788553.34,CASTIGADO
347,Cliente_347,2001-08-28,335328.65,271706.03, al dia 
348,Cliente_348,1971-06-01,564778.61,325295.86,CASTIGADO
349,Cliente_349,1969-08-27,620948.04,47909.81,CASTIGADO
350,Cliente_350,1971-02-18,1875472.34,973607.6,CASTIGADO
351,Cliente_351,2000-05-11,2874996.03,1277912.43,MOROSO 
352,Cliente_352,1983-11-21,2957027.01,1515918.64,CASTIGADO
353,Cliente_353,1962-04-03,2594362.97,736170.95,CASTIGADO
354,Cliente_354,2005-08-31,2655510.78,1696977.73,MOROSO 
355,Cliente_355,1971-03-09,1772603.65,812193.26,MOROSO 
356,Cliente_356,1980-05-21,1252006.88,655222.7,MOROSO
357,Cliente_357,1980-09-23,1000449.79,220747.45,CASTIGADO
358,Cliente_358,1991-10-29,,2653918.24,CASTIGADO
359,  cliente_359  ,1987-11-14,437104.56,295383.72, al dia 
360,  cliente_360  ,1994-10-20,2472978.32,1007066.94,AL DIA
361,Cliente_361,1997-03-04,1322914.25,779124.86,CASTIGADO
362,Cliente_362,2008-02-09,2739185.56,758849.65,MOROSO
363,Cliente_363,2004-03-18,2116526.21,1792441.72,MOROSO
364,Cliente_364,1965-12-26,1910616.42,1719456.22,MOROSO 
365,Cliente_365,1963-12-14,1323115.81,723181.7, al dia 
366,Cliente_366,1991-02-10,1844138.34,27541.4,MOROSO 
367,Cliente_367,1970-08-08,2227084.37,654903.14,AL DIA
368,Cliente_368,1986-12-18,1181406.73,603824.21,CASTIGADO
369,Cliente_369,1970-01-11,420095.74,4325.64,AL DIA
370,Cliente_370,1992-11-08,1898378.21,288634.29,MOROSO 
371,Cliente_371,1963-01-22,1389792.44,414607.86,MOROSO 
372,Cliente_372,1995-10-07,451304.49,382167.9,CASTIGADO
373,Cliente_373,1970-10-31,2160659.76,211624.17,AL DIA
374,Cliente_374,1975-11-05,,1380898.11,MOROSO
375,Cliente_375,1989-05-22,2554393.54,1429946.55,MOROSO
376,Cliente_376,2004-09-14,338824.63,19805.94,CASTIGADO
377,Cliente_377,1966-11-04,706453.82,585499.15,MOROSO
378,Cliente_378,2008-01-16,,184888.24,CASTIGADO
379,Cliente_379,1973-12-23,758498.82,65655.17, al dia 
380,Cliente_380,1985-02-25,808554.15,113095.42,MOROSO
381,Cliente_381,1974-09-22,2139776.09,1877684.3, al dia 
382,Cliente_382,1987-03-21,,502368.19,MOROSO 
383,Cliente_383,1993-01-02,2054317.4,1632867.61,CASTIGADO
384,Cliente_384,1999-04-10,1360391.9,74343.54, al dia 
385,Cliente_385,2005-12-19,2099910.67,1075470.06,MOROSO
386,Cliente_386,2005-02-13,2509115.03,157575.18,AL DIA
387,Cliente_387,2000-02-24,483998.02,371887.12,CASTIGADO
388,Cliente_388,1983-09-07,1029754.06,563686.64,MOROSO 
389,Cliente_389,1959-12-21,2431394.17,1325708.7, al dia 
390,Cliente_390,1995-10-09,2849779.94,2085977.36,MOROSO 
391,Cliente_391,1965-06-13,1554605.31,487138.58,MOROSO 
392,  cliente_392  ,1995-12-31,2847929.25,1144748.9, al dia 
393,Cliente_393,1969-01-20,2765513.56,1855981.21,CASTIGADO
394,Cliente_394,1997-06-22,2754264.87,216007.57,MOROSO 
395,  cliente_395  ,2000-12-08,868733.41,302435.94,AL DIA
396,Cliente_396,1978-09-17,714939.02,501933.07,AL DIA
397,  cliente_397  ,1982-07-13,406705.42,315133.45,AL DIA
398,Cliente_398,2006-01-31,466144.27,90300.53,MOROSO 
399,  cliente_399  ,1987-01-02,2394022.51,72896.81,CASTIGADO
400,Cliente_400,1979-06-17,2653073.39,1093146.66,MOROSO
401,Cliente_401,2006-10-28,2293828.95,1435350.54, al dia 
402,Cliente_402,1984-08-25,864691.35,440489.01,CASTIGADO
403,Cliente_403,1972-05-10,267637.77,170517.35,MOROSO
404,Cliente_404,2004-09-27,1779241.77,1422080.91,MOROSO 
405,Cliente_405,1993-05-01,2507910.23,1455447.44,MOROSO 
406,  cliente_406  ,1971-08-01,490629.39,295053.94,MOROSO
407,Cliente_407,1983-10-03,2808278.86,2115377.9,AL DIA
408,Cliente_408,1960-12-10,1141520.94,769150.37,CASTIGADO
409,Cliente_409,2000-08-27,2665177.11,1593055.28, al dia 
410,Cliente_410,2002-04-16,2496360.47,2327682.31,CASTIGADO
411,Cliente_411,1964-02-12,1997759.94,42916.57,MOROSO
412,Cliente_412,1976-08-05,2366426.0,2105790.58,CASTIGADO
413,  cliente_413  ,1988-07-10,2038028.17,276501.28, al dia 
414,Cliente_414,1981-11-06,1382783.42,81944.36,MOROSO
415,Cliente_415,1984-12-31,2663843.74,1634195.56,MOROSO
